Vehicle_Model,Maintenance_History,Reported_Issues,Vehicle_Age,Odometer_Reading,Days_Since_Last_Service,Last_Service_Date,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Truck,Good,0,4,28524,525.00,23-11-2023,6,3,13.6222038,New,New,Weak,1
Van,Average,1,7,133630,588.00,21-09-2023,7,0,13.62530685,New,New,Weak,1
Bus,Poor,0,2,34022,674.00,27-06-2023,7,0,14.30630236,New,Good,Weak,1
Bus,Average,4,5,81636,616.00,24-08-2023,7,3,18.70946666,New,Worn Out,New,1
Bus,Poor,5,1,97162,707.00,25-05-2023,6,2,16.9774825,Good,Good,Weak,1
Truck,Average,2,1,70954,628.00,12-08-2023,5,3,15.95442206,Worn Out,Good,New,0
Motorcycle,Average,2,8,145563,474.00,13-01-2024,10,0,16.45570318,New,Good,New,0
Van,Poor,2,2,132354,720.00,12-05-2023,3,1,12.12840374,Good,New,New,1
SUV,Good,2,6,85733,755.00,07-04-2023,9,1,11.55802677,Worn Out,Good,Weak,1
Bus,Good,2,9,8554,635.00,05-08-2023,9,1,12.78724818,Worn Out,New,New,0
Bus,Average,5,10,51817,540.00,08-11-2023,5,1,15.5443715,New,New,New,1
Car,Poor,3,4,35751,668.00,03-07-2023,6,1,16.38821978,Worn Out,New,Weak,1
Bus,Poor,4,8,118508,437.00,19-02-2024,10,0,13.92594335,Worn Out,New,Weak,1
Car,Good,4,3,64195,751.00,11-04-2023,3,1,11.61351056,New,New,Good,1
Car,Poor,5,6,36403,725.00,07-05-2023,8,2,16.33998023,Worn Out,Good,New,1
SUV,Poor,5,1,80856,592.00,17-09-2023,4,3,10.07271196,Good,Worn Out,Weak,1
Bus,Poor,0,7,6493,524.00,24-11-2023,7,3,13.73612294,Worn Out,Good,New,0
Motorcycle,Average,0,3,143432,586.00,23-09-2023,3,3,10.00713008,Worn Out,New,New,0
Bus,Poor,3,3,7755,464.00,23-01-2024,10,1,16.24308028,Good,Good,New,1
Bus,Good,1,7,104771,686.00,15-06-2023,5,1,15.67909242,New,Worn Out,New,1
Motorcycle,Poor,1,6,88476,524.00,24-11-2023,1,2,17.48108031,Worn Out,Good,Weak,1
SUV,Average,3,2,28975,657.00,14-07-2023,6,0,10.7377029,Worn Out,Good,Good,1
Motorcycle,Average,0,10,15052,732.00,30-04-2023,10,3,16.22524022,Worn Out,New,Weak,1
Bus,Poor,1,7,108851,689.00,12-06-2023,5,1,13.42715042,Worn Out,Good,New,0
Car,Poor,0,2,71423,508.00,10-12-2023,6,3,13.85904926,Good,Worn Out,Weak,1
Car,Good,5,7,42971,554.00,25-10-2023,8,2,17.03695635,Worn Out,New,Good,1
Motorcycle,Good,5,9,88775,552.00,27-10-2023,9,0,19.18580254,Good,New,Weak,1
Motorcycle,Good,4,2,77128,710.00,22-05-2023,8,1,19.33631707,Good,Worn Out,Weak,1
SUV,Poor,1,8,141901,496.00,22-12-2023,3,2,11.27652071,New,Good,Good,0
SUV,Good,5,7,149954,605.00,04-09-2023,4,2,19.82641608,New,Good,Weak,1
Motorcycle,Average,1,3,148440,478.00,09-01-2024,4,1,15.15413882,Good,Worn Out,Weak,1
SUV,Poor,4,8,12518,672.00,29-06-2023,2,3,11.91281596,Good,Worn Out,New,1
Motorcycle,Good,5,4,87800,529.00,19-11-2023,9,0,16.88097768,New,Good,New,1
Truck,Poor,4,5,127740,621.00,19-08-2023,8,3,17.21332782,Worn Out,New,Good,1
SUV,Good,1,9,51222,694.00,07-06-2023,10,1,14.04652945,Good,New,New,0
